T/s,I_se/nA,Spalte1,I_P/nA,Type
1.41E+01,8.39E+00,3.89E-01,2.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.41E+01,8.57E+00,4.04E-01,2.12E+01,$\mathit{I}_\mathrm{EBIC}$
1.42E+01,8.76E+00,3.98E-01,2.20E+01,$\mathit{I}_\mathrm{EBIC}$
1.42E+01,8.94E+00,3.97E-01,2.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.43E+01,9.13E+00,3.76E-01,2.43E+01,$\mathit{I}_\mathrm{EBIC}$
1.43E+01,9.75E+00,3.87E-01,2.52E+01,$\mathit{I}_\mathrm{EBIC}$
1.44E+01,1.04E+01,3.79E-01,2.74E+01,$\mathit{I}_\mathrm{EBIC}$
1.44E+01,1.10E+01,3.91E-01,2.81E+01,$\mathit{I}_\mathrm{EBIC}$
1.45E+01,1.16E+01,3.76E-01,3.08E+01,$\mathit{I}_\mathrm{EBIC}$
1.45E+01,1.17E+01,3.85E-01,3.04E+01,$\mathit{I}_\mathrm{EBIC}$
1.46E+01,1.18E+01,3.87E-01,3.05E+01,$\mathit{I}_\mathrm{EBIC}$
1.46E+01,1.19E+01,3.88E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.47E+01,1.20E+01,4.02E-01,2.98E+01,$\mathit{I}_\mathrm{EBIC}$
1.47E+01,1.21E+01,4.02E-01,3.01E+01,$\mathit{I}_\mathrm{EBIC}$
1.48E+01,1.22E+01,4.00E-01,3.05E+01,$\mathit{I}_\mathrm{EBIC}$
1.48E+01,1.23E+01,3.86E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.49E+01,1.24E+01,3.93E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.49E+01,1.24E+01,3.84E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.50E+01,1.24E+01,3.96E-01,3.13E+01,$\mathit{I}_\mathrm{EBIC}$
1.50E+01,1.25E+01,3.77E-01,3.32E+01,$\mathit{I}_\mathrm{EBIC}$
1.51E+01,1.25E+01,3.89E-01,3.21E+01,$\mathit{I}_\mathrm{EBIC}$
1.51E+01,1.25E+01,3.78E-01,3.31E+01,$\mathit{I}_\mathrm{EBIC}$
1.52E+01,1.25E+01,3.97E-01,3.15E+01,$\mathit{I}_\mathrm{EBIC}$
1.52E+01,1.25E+01,3.95E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.53E+01,1.25E+01,3.93E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.53E+01,1.25E+01,4.00E-01,3.12E+01,$\mathit{I}_\mathrm{EBIC}$
1.54E+01,1.25E+01,3.92E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.54E+01,1.26E+01,3.75E-01,3.36E+01,$\mathit{I}_\mathrm{EBIC}$
1.55E+01,1.26E+01,3.85E-01,3.27E+01,$\mathit{I}_\mathrm{EBIC}$
1.55E+01,1.26E+01,3.88E-01,3.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.56E+01,1.26E+01,3.94E-01,3.20E+01,$\mathit{I}_\mathrm{EBIC}$
1.56E+01,1.26E+01,3.90E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.57E+01,1.26E+01,3.90E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.57E+01,1.26E+01,4.05E-01,3.11E+01,$\mathit{I}_\mathrm{EBIC}$
1.58E+01,1.26E+01,3.87E-01,3.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.58E+01,1.26E+01,3.76E-01,3.35E+01,$\mathit{I}_\mathrm{EBIC}$
1.59E+01,1.26E+01,4.00E-01,3.15E+01,$\mathit{I}_\mathrm{EBIC}$
1.59E+01,1.26E+01,3.81E-01,3.31E+01,$\mathit{I}_\mathrm{EBIC}$
1.60E+01,1.26E+01,3.84E-01,3.28E+01,$\mathit{I}_\mathrm{EBIC}$
1.60E+01,1.26E+01,3.89E-01,3.24E+01,$\mathit{I}_\mathrm{EBIC}$
1.61E+01,1.25E+01,3.93E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.61E+01,1.25E+01,3.91E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.62E+01,1.25E+01,3.98E-01,3.14E+01,$\mathit{I}_\mathrm{EBIC}$
1.62E+01,1.25E+01,3.91E-01,3.20E+01,$\mathit{I}_\mathrm{EBIC}$
1.63E+01,1.25E+01,3.83E-01,3.26E+01,$\mathit{I}_\mathrm{EBIC}$
1.63E+01,1.25E+01,3.85E-01,3.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.64E+01,1.25E+01,3.91E-01,3.20E+01,$\mathit{I}_\mathrm{EBIC}$
1.64E+01,1.25E+01,4.00E-01,3.13E+01,$\mathit{I}_\mathrm{EBIC}$
1.65E+01,1.24E+01,3.89E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.65E+01,1.24E+01,3.91E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.66E+01,1.24E+01,3.92E-01,3.17E+01,$\mathit{I}_\mathrm{EBIC}$
1.66E+01,1.24E+01,3.87E-01,3.20E+01,$\mathit{I}_\mathrm{EBIC}$
1.67E+01,1.24E+01,3.83E-01,3.24E+01,$\mathit{I}_\mathrm{EBIC}$
1.67E+01,1.24E+01,3.95E-01,3.14E+01,$\mathit{I}_\mathrm{EBIC}$
1.68E+01,1.24E+01,3.82E-01,3.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.68E+01,1.23E+01,3.81E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.69E+01,1.23E+01,3.98E-01,3.09E+01,$\mathit{I}_\mathrm{EBIC}$
1.69E+01,1.23E+01,3.87E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.70E+01,1.23E+01,3.86E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.70E+01,1.23E+01,3.94E-01,3.12E+01,$\mathit{I}_\mathrm{EBIC}$
1.71E+01,1.23E+01,4.01E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.71E+01,1.23E+01,3.97E-01,3.10E+01,$\mathit{I}_\mathrm{EBIC}$
1.72E+01,1.23E+01,4.01E-01,3.06E+01,$\mathit{I}_\mathrm{EBIC}$
1.72E+01,1.23E+01,3.75E-01,3.28E+01,$\mathit{I}_\mathrm{EBIC}$
1.73E+01,1.22E+01,3.86E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.73E+01,1.22E+01,4.02E-01,3.04E+01,$\mathit{I}_\mathrm{EBIC}$
1.74E+01,1.22E+01,4.03E-01,3.03E+01,$\mathit{I}_\mathrm{EBIC}$
1.74E+01,1.22E+01,3.90E-01,3.13E+01,$\mathit{I}_\mathrm{EBIC}$
1.75E+01,1.22E+01,3.83E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.75E+01,1.22E+01,3.97E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.76E+01,1.22E+01,3.83E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.76E+01,1.22E+01,3.77E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.77E+01,1.22E+01,3.98E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.77E+01,1.22E+01,4.02E-01,3.03E+01,$\mathit{I}_\mathrm{EBIC}$
1.78E+01,1.22E+01,3.77E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.78E+01,1.22E+01,3.88E-01,3.14E+01,$\mathit{I}_\mathrm{EBIC}$
1.79E+01,1.22E+01,3.93E-01,3.11E+01,$\mathit{I}_\mathrm{EBIC}$
1.79E+01,1.22E+01,3.87E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.80E+01,1.22E+01,3.78E-01,3.22E+01,$\mathit{I}_\mathrm{EBIC}$
1.80E+01,1.22E+01,4.00E-01,3.05E+01,$\mathit{I}_\mathrm{EBIC}$
1.81E+01,1.22E+01,4.00E-01,3.05E+01,$\mathit{I}_\mathrm{EBIC}$
1.81E+01,1.22E+01,3.92E-01,3.11E+01,$\mathit{I}_\mathrm{EBIC}$
1.82E+01,1.22E+01,3.91E-01,3.12E+01,$\mathit{I}_\mathrm{EBIC}$
1.82E+01,1.22E+01,3.97E-01,3.08E+01,$\mathit{I}_\mathrm{EBIC}$
1.83E+01,1.22E+01,3.82E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.83E+01,1.22E+01,3.82E-01,3.19E+01,$\mathit{I}_\mathrm{EBIC}$
1.84E+01,1.22E+01,3.86E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.84E+01,1.22E+01,3.98E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.85E+01,1.22E+01,4.04E-01,3.02E+01,$\mathit{I}_\mathrm{EBIC}$
1.85E+01,1.23E+01,3.99E-01,3.08E+01,$\mathit{I}_\mathrm{EBIC}$
1.86E+01,1.23E+01,4.04E-01,3.04E+01,$\mathit{I}_\mathrm{EBIC}$
1.86E+01,1.24E+01,4.01E-01,3.10E+01,$\mathit{I}_\mathrm{EBIC}$
1.87E+01,1.24E+01,4.03E-01,3.08E+01,$\mathit{I}_\mathrm{EBIC}$
1.87E+01,1.25E+01,4.02E-01,3.11E+01,$\mathit{I}_\mathrm{EBIC}$
1.88E+01,1.25E+01,3.79E-01,3.30E+01,$\mathit{I}_\mathrm{EBIC}$
1.88E+01,1.25E+01,3.84E-01,3.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.89E+01,1.25E+01,3.98E-01,3.14E+01,$\mathit{I}_\mathrm{EBIC}$
1.89E+01,1.26E+01,3.87E-01,3.26E+01,$\mathit{I}_\mathrm{EBIC}$
1.90E+01,1.26E+01,4.02E-01,3.13E+01,$\mathit{I}_\mathrm{EBIC}$
1.90E+01,1.26E+01,3.76E-01,3.35E+01,$\mathit{I}_\mathrm{EBIC}$
1.91E+01,1.26E+01,3.78E-01,3.33E+01,$\mathit{I}_\mathrm{EBIC}$
1.91E+01,1.26E+01,3.90E-01,3.23E+01,$\mathit{I}_\mathrm{EBIC}$
1.92E+01,1.26E+01,3.86E-01,3.26E+01,$\mathit{I}_\mathrm{EBIC}$
1.92E+01,1.26E+01,3.92E-01,3.22E+01,$\mathit{I}_\mathrm{EBIC}$
1.93E+01,1.26E+01,4.02E-01,3.13E+01,$\mathit{I}_\mathrm{EBIC}$
1.93E+01,1.24E+01,3.92E-01,3.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.94E+01,1.22E+01,3.97E-01,3.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.94E+01,1.20E+01,3.77E-01,3.18E+01,$\mathit{I}_\mathrm{EBIC}$
1.95E+01,1.18E+01,3.82E-01,3.09E+01,$\mathit{I}_\mathrm{EBIC}$
1.95E+01,1.15E+01,4.03E-01,2.85E+01,$\mathit{I}_\mathrm{EBIC}$
1.96E+01,1.13E+01,4.02E-01,2.81E+01,$\mathit{I}_\mathrm{EBIC}$
1.96E+01,1.11E+01,3.81E-01,2.91E+01,$\mathit{I}_\mathrm{EBIC}$
1.97E+01,1.09E+01,3.98E-01,2.74E+01,$\mathit{I}_\mathrm{EBIC}$
1.97E+01,1.06E+01,3.84E-01,2.76E+01,$\mathit{I}_\mathrm{EBIC}$
1.98E+01,1.04E+01,3.95E-01,2.63E+01,$\mathit{I}_\mathrm{EBIC}$
1.98E+01,9.67E+00,4.00E-01,2.42E+01,$\mathit{I}_\mathrm{EBIC}$
1.99E+01,8.99E+00,3.78E-01,2.38E+01,$\mathit{I}_\mathrm{EBIC}$
1.99E+01,8.72E+00,3.78E-01,2.31E+01,$\mathit{I}_\mathrm{EBIC}$
2.00E+01,8.45E+00,3.82E-01,2.21E+01,$\mathit{I}_\mathrm{EBIC}$
2.00E+01,8.18E+00,3.85E-01,2.12E+01,$\mathit{I}_\mathrm{EBIC}$
2.01E+01,7.91E+00,4.00E-01,1.98E+01,$\mathit{I}_\mathrm{EBIC}$
2.01E+01,7.64E+00,3.96E-01,1.93E+01,$\mathit{I}_\mathrm{EBIC}$
2.02E+01,7.37E+00,3.93E-01,1.88E+01,$\mathit{I}_\mathrm{EBIC}$
2.02E+01,7.18E+00,3.83E-01,1.88E+01,$\mathit{I}_\mathrm{EBIC}$
2.03E+01,6.99E+00,3.77E-01,1.86E+01,$\mathit{I}_\mathrm{EBIC}$
2.03E+01,6.80E+00,3.83E-01,1.78E+01,$\mathit{I}_\mathrm{EBIC}$
2.04E+01,6.61E+00,3.81E-01,1.74E+01,$\mathit{I}_\mathrm{EBIC}$
2.04E+01,6.39E+00,3.89E-01,1.64E+01,$\mathit{I}_\mathrm{EBIC}$
2.05E+01,6.18E+00,3.99E-01,1.55E+01,$\mathit{I}_\mathrm{EBIC}$
2.05E+01,5.96E+00,3.92E-01,1.52E+01,$\mathit{I}_\mathrm{EBIC}$
2.06E+01,5.75E+00,4.03E-01,1.43E+01,$\mathit{I}_\mathrm{EBIC}$
2.06E+01,5.61E+00,3.79E-01,1.48E+01,$\mathit{I}_\mathrm{EBIC}$
2.07E+01,5.46E+00,3.88E-01,1.41E+01,$\mathit{I}_\mathrm{EBIC}$
2.07E+01,5.32E+00,3.76E-01,1.42E+01,$\mathit{I}_\mathrm{EBIC}$
2.08E+01,5.18E+00,3.84E-01,1.35E+01,$\mathit{I}_\mathrm{EBIC}$
2.08E+01,4.96E+00,3.81E-01,1.30E+01,$\mathit{I}_\mathrm{EBIC}$
2.09E+01,4.74E+00,4.02E-01,1.18E+01,$\mathit{I}_\mathrm{EBIC}$
2.09E+01,4.52E+00,3.77E-01,1.20E+01,$\mathit{I}_\mathrm{EBIC}$
2.10E+01,4.30E+00,4.00E-01,1.07E+01,$\mathit{I}_\mathrm{EBIC}$
2.10E+01,4.16E+00,3.88E-01,1.07E+01,$\mathit{I}_\mathrm{EBIC}$
2.11E+01,4.03E+00,3.80E-01,1.06E+01,$\mathit{I}_\mathrm{EBIC}$
2.11E+01,3.90E+00,4.01E-01,9.72E+00,$\mathit{I}_\mathrm{EBIC}$
2.12E+01,3.76E+00,3.81E-01,9.87E+00,$\mathit{I}_\mathrm{EBIC}$
2.12E+01,3.66E+00,3.80E-01,9.64E+00,$\mathit{I}_\mathrm{EBIC}$
2.13E+01,3.56E+00,3.87E-01,9.20E+00,$\mathit{I}_\mathrm{EBIC}$
2.13E+01,3.46E+00,3.98E-01,8.70E+00,$\mathit{I}_\mathrm{EBIC}$
2.14E+01,3.35E+00,3.88E-01,8.63E+00,$\mathit{I}_\mathrm{EBIC}$
2.14E+01,3.24E+00,3.78E-01,8.57E+00,$\mathit{I}_\mathrm{EBIC}$
2.15E+01,3.12E+00,3.77E-01,8.28E+00,$\mathit{I}_\mathrm{EBIC}$
2.15E+01,3.00E+00,3.78E-01,7.94E+00,$\mathit{I}_\mathrm{EBIC}$
2.16E+01,2.88E+00,4.02E-01,7.16E+00,$\mathit{I}_\mathrm{EBIC}$
2.16E+01,2.78E+00,3.95E-01,7.04E+00,$\mathit{I}_\mathrm{EBIC}$
2.17E+01,2.69E+00,3.83E-01,7.02E+00,$\mathit{I}_\mathrm{EBIC}$
2.17E+01,2.59E+00,3.79E-01,6.84E+00,$\mathit{I}_\mathrm{EBIC}$
2.18E+01,2.49E+00,3.93E-01,6.33E+00,$\mathit{I}_\mathrm{EBIC}$
2.18E+01,2.40E+00,3.97E-01,6.05E+00,$\mathit{I}_\mathrm{EBIC}$
2.19E+01,2.31E+00,3.83E-01,6.03E+00,$\mathit{I}_\mathrm{EBIC}$
2.19E+01,2.23E+00,3.99E-01,5.59E+00,$\mathit{I}_\mathrm{EBIC}$
2.20E+01,2.14E+00,3.79E-01,5.65E+00,$\mathit{I}_\mathrm{EBIC}$
2.20E+01,2.07E+00,3.84E-01,5.39E+00,$\mathit{I}_\mathrm{EBIC}$
2.21E+01,2.01E+00,3.85E-01,5.23E+00,$\mathit{I}_\mathrm{EBIC}$
2.21E+01,1.94E+00,3.82E-01,5.08E+00,$\mathit{I}_\mathrm{EBIC}$
2.22E+01,1.88E+00,3.92E-01,4.80E+00,$\mathit{I}_\mathrm{EBIC}$
2.22E+01,1.85E+00,3.98E-01,4.65E+00,$\mathit{I}_\mathrm{EBIC}$
2.23E+01,1.82E+00,3.88E-01,4.70E+00,$\mathit{I}_\mathrm{EBIC}$
2.23E+01,1.80E+00,3.77E-01,4.78E+00,$\mathit{I}_\mathrm{EBIC}$
2.24E+01,1.77E+00,3.94E-01,4.49E+00,$\mathit{I}_\mathrm{EBIC}$
2.24E+01,1.72E+00,3.94E-01,4.36E+00,$\mathit{I}_\mathrm{EBIC}$
2.25E+01,1.67E+00,3.77E-01,4.43E+00,$\mathit{I}_\mathrm{EBIC}$
2.25E+01,1.61E+00,3.97E-01,4.06E+00,$\mathit{I}_\mathrm{EBIC}$
2.26E+01,1.56E+00,4.01E-01,3.89E+00,$\mathit{I}_\mathrm{EBIC}$
2.26E+01,1.48E+00,3.81E-01,3.88E+00,$\mathit{I}_\mathrm{EBIC}$
2.27E+01,1.40E+00,3.99E-01,3.51E+00,$\mathit{I}_\mathrm{EBIC}$
2.27E+01,1.32E+00,3.88E-01,3.40E+00,$\mathit{I}_\mathrm{EBIC}$
2.28E+01,1.25E+00,3.78E-01,3.31E+00,$\mathit{I}_\mathrm{EBIC}$
2.28E+01,1.12E+00,3.83E-01,2.92E+00,$\mathit{I}_\mathrm{EBIC}$
2.29E+01,1.00E+00,3.87E-01,2.58E+00,$\mathit{I}_\mathrm{EBIC}$
2.29E+01,8.77E-01,3.89E-01,2.26E+00,$\mathit{I}_\mathrm{EBIC}$
2.00E-01,0.0189593,,,$\mathit{I}_\mathrm{PE}$
2.50E-01,0.0218577,,,$\mathit{I}_\mathrm{PE}$
3.00E-01,0.0262990,,,$\mathit{I}_\mathrm{PE}$
3.50E-01,0.0296034,,,$\mathit{I}_\mathrm{PE}$
4.00E-01,0.0336400,,,$\mathit{I}_\mathrm{PE}$
4.50E-01,0.0355931,,,$\mathit{I}_\mathrm{PE}$
5.00E-01,0.0411758,,,$\mathit{I}_\mathrm{PE}$
5.50E-01,0.0438774,,,$\mathit{I}_\mathrm{PE}$
6.00E-01,0.0483192,,,$\mathit{I}_\mathrm{PE}$
6.50E-01,0.0519043,,,$\mathit{I}_\mathrm{PE}$
7.00E-01,0.0536321,,,$\mathit{I}_\mathrm{PE}$
7.50E-01,0.0593167,,,$\mathit{I}_\mathrm{PE}$
8.00E-01,0.0612417,,,$\mathit{I}_\mathrm{PE}$
8.50E-01,0.0675868,,,$\mathit{I}_\mathrm{PE}$
9.00E-01,0.0673733,,,$\mathit{I}_\mathrm{PE}$
9.50E-01,0.0742186,,,$\mathit{I}_\mathrm{PE}$
1.00E+00,0.0759781,,,$\mathit{I}_\mathrm{PE}$
1.05E+00,0.0768153,,,$\mathit{I}_\mathrm{PE}$
1.10E+00,0.0863247,,,$\mathit{I}_\mathrm{PE}$
1.15E+00,0.0851730,,,$\mathit{I}_\mathrm{PE}$
1.20E+00,0.0933050,,,$\mathit{I}_\mathrm{PE}$
1.25E+00,0.0939089,,,$\mathit{I}_\mathrm{PE}$
1.30E+00,0.0976178,,,$\mathit{I}_\mathrm{PE}$
1.35E+00,0.0978181,,,$\mathit{I}_\mathrm{PE}$
1.40E+00,0.1033298,,,$\mathit{I}_\mathrm{PE}$
1.45E+00,0.1065428,,,$\mathit{I}_\mathrm{PE}$
1.50E+00,0.1125802,,,$\mathit{I}_\mathrm{PE}$
1.55E+00,0.1134006,,,$\mathit{I}_\mathrm{PE}$
1.60E+00,0.1154146,,,$\mathit{I}_\mathrm{PE}$
1.65E+00,0.1262097,,,$\mathit{I}_\mathrm{PE}$
1.70E+00,0.1299446,,,$\mathit{I}_\mathrm{PE}$
1.75E+00,0.1292173,,,$\mathit{I}_\mathrm{PE}$
1.80E+00,0.1324439,,,$\mathit{I}_\mathrm{PE}$
1.85E+00,0.1375130,,,$\mathit{I}_\mathrm{PE}$
1.90E+00,0.1370991,,,$\mathit{I}_\mathrm{PE}$
1.95E+00,0.1491752,,,$\mathit{I}_\mathrm{PE}$
2.00E+00,0.1467936,,,$\mathit{I}_\mathrm{PE}$
2.05E+00,0.1546223,,,$\mathit{I}_\mathrm{PE}$
2.10E+00,0.1579873,,,$\mathit{I}_\mathrm{PE}$
2.15E+00,0.1626250,,,$\mathit{I}_\mathrm{PE}$
2.20E+00,0.1592115,,,$\mathit{I}_\mathrm{PE}$
2.25E+00,0.1631025,,,$\mathit{I}_\mathrm{PE}$
2.30E+00,0.1642691,,,$\mathit{I}_\mathrm{PE}$
2.35E+00,0.1736184,,,$\mathit{I}_\mathrm{PE}$
2.40E+00,0.1793159,,,$\mathit{I}_\mathrm{PE}$
2.45E+00,0.1869105,,,$\mathit{I}_\mathrm{PE}$
2.50E+00,0.1770886,,,$\mathit{I}_\mathrm{PE}$
2.55E+00,0.1874132,,,$\mathit{I}_\mathrm{PE}$
2.60E+00,0.1947225,,,$\mathit{I}_\mathrm{PE}$
2.65E+00,0.1967995,,,$\mathit{I}_\mathrm{PE}$
2.70E+00,0.2030564,,,$\mathit{I}_\mathrm{PE}$
2.75E+00,0.2019625,,,$\mathit{I}_\mathrm{PE}$
2.80E+00,0.1980900,,,$\mathit{I}_\mathrm{PE}$
2.85E+00,0.2166441,,,$\mathit{I}_\mathrm{PE}$
2.90E+00,0.2122388,,,$\mathit{I}_\mathrm{PE}$
2.95E+00,0.2107145,,,$\mathit{I}_\mathrm{PE}$
3.00E+00,0.2163981,,,$\mathit{I}_\mathrm{PE}$
3.05E+00,0.2298233,,,$\mathit{I}_\mathrm{PE}$
3.10E+00,0.2237201,,,$\mathit{I}_\mathrm{PE}$
3.15E+00,0.2365813,,,$\mathit{I}_\mathrm{PE}$
3.20E+00,0.2281258,,,$\mathit{I}_\mathrm{PE}$
3.25E+00,0.2307027,,,$\mathit{I}_\mathrm{PE}$
3.30E+00,0.2491941,,,$\mathit{I}_\mathrm{PE}$
3.35E+00,0.2672122,,,$\mathit{I}_\mathrm{PE}$
3.40E+00,0.3126690,,,$\mathit{I}_\mathrm{PE}$
3.45E+00,0.3410914,,,$\mathit{I}_\mathrm{PE}$
3.50E+00,0.4048599,,,$\mathit{I}_\mathrm{PE}$
3.55E+00,0.4214998,,,$\mathit{I}_\mathrm{PE}$
3.60E+00,0.4815128,,,$\mathit{I}_\mathrm{PE}$
3.65E+00,0.5097831,,,$\mathit{I}_\mathrm{PE}$
3.70E+00,0.5865680,,,$\mathit{I}_\mathrm{PE}$
3.75E+00,0.5833427,,,$\mathit{I}_\mathrm{PE}$
3.80E+00,0.6652996,,,$\mathit{I}_\mathrm{PE}$
3.85E+00,0.6830869,,,$\mathit{I}_\mathrm{PE}$
3.90E+00,0.7442479,,,$\mathit{I}_\mathrm{PE}$
3.95E+00,0.7907224,,,$\mathit{I}_\mathrm{PE}$
4.00E+00,0.8108456,,,$\mathit{I}_\mathrm{PE}$
4.05E+00,0.8592371,,,$\mathit{I}_\mathrm{PE}$
4.10E+00,0.9046579,,,$\mathit{I}_\mathrm{PE}$
4.15E+00,0.9315886,,,$\mathit{I}_\mathrm{PE}$
4.20E+00,0.9501806,,,$\mathit{I}_\mathrm{PE}$
4.25E+00,1.0322961,,,$\mathit{I}_\mathrm{PE}$
4.30E+00,1.0740168,,,$\mathit{I}_\mathrm{PE}$
4.35E+00,1.0979915,,,$\mathit{I}_\mathrm{PE}$
4.40E+00,1.1157708,,,$\mathit{I}_\mathrm{PE}$
4.45E+00,1.1859839,,,$\mathit{I}_\mathrm{PE}$
4.50E+00,1.2776922,,,$\mathit{I}_\mathrm{PE}$
4.55E+00,1.3097894,,,$\mathit{I}_\mathrm{PE}$
4.60E+00,1.2866082,,,$\mathit{I}_\mathrm{PE}$
4.65E+00,1.3854360,,,$\mathit{I}_\mathrm{PE}$
4.70E+00,1.3546951,,,$\mathit{I}_\mathrm{PE}$
4.75E+00,1.3870167,,,$\mathit{I}_\mathrm{PE}$
4.80E+00,1.3826236,,,$\mathit{I}_\mathrm{PE}$
4.85E+00,1.3442431,,,$\mathit{I}_\mathrm{PE}$
4.90E+00,1.3765520,,,$\mathit{I}_\mathrm{PE}$
4.95E+00,1.4398465,,,$\mathit{I}_\mathrm{PE}$
5.00E+00,1.4635788,,,$\mathit{I}_\mathrm{PE}$
5.05E+00,1.4451481,,,$\mathit{I}_\mathrm{PE}$
5.10E+00,1.4293335,,,$\mathit{I}_\mathrm{PE}$
5.15E+00,1.4733896,,,$\mathit{I}_\mathrm{PE}$
5.20E+00,1.4985904,,,$\mathit{I}_\mathrm{PE}$
5.25E+00,1.4906342,,,$\mathit{I}_\mathrm{PE}$
5.30E+00,1.4716469,,,$\mathit{I}_\mathrm{PE}$
5.35E+00,1.5230155,,,$\mathit{I}_\mathrm{PE}$
5.40E+00,1.5000916,,,$\mathit{I}_\mathrm{PE}$
5.45E+00,1.5193486,,,$\mathit{I}_\mathrm{PE}$
5.50E+00,1.4910691,,,$\mathit{I}_\mathrm{PE}$
5.55E+00,1.5556812,,,$\mathit{I}_\mathrm{PE}$
5.60E+00,1.5799027,,,$\mathit{I}_\mathrm{PE}$
5.65E+00,1.6286158,,,$\mathit{I}_\mathrm{PE}$
5.70E+00,1.5261560,,,$\mathit{I}_\mathrm{PE}$
5.75E+00,1.5832449,,,$\mathit{I}_\mathrm{PE}$
5.80E+00,1.6007185,,,$\mathit{I}_\mathrm{PE}$
5.85E+00,1.5806108,,,$\mathit{I}_\mathrm{PE}$
5.90E+00,1.6246778,,,$\mathit{I}_\mathrm{PE}$
5.95E+00,1.6637544,,,$\mathit{I}_\mathrm{PE}$
6.00E+00,1.6166822,,,$\mathit{I}_\mathrm{PE}$
6.05E+00,1.6817750,,,$\mathit{I}_\mathrm{PE}$
6.10E+00,1.6936954,,,$\mathit{I}_\mathrm{PE}$
6.15E+00,1.6552085,,,$\mathit{I}_\mathrm{PE}$
6.20E+00,1.7358540,,,$\mathit{I}_\mathrm{PE}$
6.25E+00,1.7024472,,,$\mathit{I}_\mathrm{PE}$
6.30E+00,1.6488858,,,$\mathit{I}_\mathrm{PE}$
6.35E+00,1.6946777,,,$\mathit{I}_\mathrm{PE}$
6.40E+00,1.7353737,,,$\mathit{I}_\mathrm{PE}$
6.45E+00,1.6879108,,,$\mathit{I}_\mathrm{PE}$
6.50E+00,1.7525340,,,$\mathit{I}_\mathrm{PE}$
6.55E+00,1.7008964,,,$\mathit{I}_\mathrm{PE}$
6.60E+00,1.7790825,,,$\mathit{I}_\mathrm{PE}$
6.65E+00,1.7505755,,,$\mathit{I}_\mathrm{PE}$
6.70E+00,1.8349137,,,$\mathit{I}_\mathrm{PE}$
6.75E+00,1.8391805,,,$\mathit{I}_\mathrm{PE}$
6.80E+00,1.7724169,,,$\mathit{I}_\mathrm{PE}$
6.85E+00,1.7666475,,,$\mathit{I}_\mathrm{PE}$
6.90E+00,1.8138110,,,$\mathit{I}_\mathrm{PE}$
6.95E+00,1.8208709,,,$\mathit{I}_\mathrm{PE}$
7.00E+00,1.8560173,,,$\mathit{I}_\mathrm{PE}$
7.05E+00,1.9280387,,,$\mathit{I}_\mathrm{PE}$
7.10E+00,1.8902217,,,$\mathit{I}_\mathrm{PE}$
7.15E+00,1.8337231,,,$\mathit{I}_\mathrm{PE}$
7.20E+00,1.8765578,,,$\mathit{I}_\mathrm{PE}$
7.25E+00,1.8540997,,,$\mathit{I}_\mathrm{PE}$
7.30E+00,1.9522034,,,$\mathit{I}_\mathrm{PE}$
7.35E+00,1.9921062,,,$\mathit{I}_\mathrm{PE}$
